index,path,x,y,field,group,value,type
0, 0, 570.9427483732974, 535.3696183784339, Chinese, undefined, 39, link 
0, 1, 393.3561154890683, 356.5024463397129, Chinese, undefined, 39, link 
0, 2, 91.66145346193863, 460.5905976485251, Chinese, undefined, 39, link 
0, 3, 82.75200200348772, 478.1875230441741, Chinese, undefined, 39, link 
0, 4, 54.01836436074713, 600.4595525548484, Chinese, undefined, 39, link 
0, 5, 56.80663470600867, 605.4709566293617, Chinese, undefined, 39, link 
0, 6, 70.52936742806706, 626.8239455451086, Chinese, undefined, 39, link 
0, 7, 85.57876210288502, 647.2635944882421, Chinese, undefined, 39, link 
0, 8, 101.89422012969834, 666.7076002065169, Chinese, undefined, 39, link 
0, 9, 119.41004491747155, 685.0776685515451, Chinese, undefined, 39, link 
0, 10, 138.05570642188576, 702.2998297417032, Chinese, undefined, 39, link 
0, 11, 157.7561251449327, 718.3047362123325, Chinese, undefined, 39, link 
0, 12, 178.43197445355545, 733.0279418539083, Chinese, undefined, 39, link 
0, 13, 199.9999999999995, 746.4101615137752, Chinese, undefined, 39, link 
0, 14, 222.37335495769074, 758.3975097165345, Chinese, undefined, 39, link 
0, 15, 245.46194972274918, 768.9417176418328, Chinese, undefined, 39, link 
0, 16, 269.17281467303155, 778.0003274858675, Chinese, undefined, 39, link 
0, 17, 293.4104745239855, 785.5368634239768, Chinese, undefined, 39, link 
0, 18, 318.07733277392344, 791.5209784859114, Chinese, undefined, 39, link 
0, 19, 343.07406469068513, 795.928576752373, Chinese, undefined, 39, link 
0, 20, 368.300017257285, 798.741910380777, Chinese, undefined, 39, link 
0, 21, 393.65361446607704, 799.9496510695501, Chinese, undefined, 39, link 
0, 22, 419.032766329497, 799.5469356732032, Chinese, undefined, 39, link 
0, 23, 444.33527996040436, 797.5353857845017, Chinese, undefined, 39, link 
0, 24, 469.45927106677226, 793.9231012048832, Chinese, undefined, 39, link 
0, 25, 494.3035742037705, 788.7246273294166, Chinese, undefined, 39, link 
0, 26, 515.298443377912, 782.9201677432998, Chinese, undefined, 39, link 
0, 27, 573.9891512410787, 544.2358776223439, Chinese, undefined, 39, link 
0, 28, 570.9427483732974, 535.3696183784339, Chinese, undefined, 39, link 
1, 0, 423.14521502875454, 290.1696717565449, Japanese, undefined, 28, link 
1, 1, 410.6383073093448, 192.64584363029093, Japanese, undefined, 28, link 
1, 2, 247.24022427477595, 30.378902023617457, Japanese, undefined, 28, link 
1, 3, 245.46194972274813, 31.058282358167578, Japanese, undefined, 28, link 
1, 4, 222.37335495769034, 41.60249028346564, Japanese, undefined, 28, link 
1, 5, 200, 53.58983848622455, Japanese, undefined, 28, link 
1, 6, 178.43197445355588, 66.97205814609146, Japanese, undefined, 28, link 
1, 7, 157.75612514493346, 81.69526378766706, Japanese, undefined, 28, link 
1, 8, 138.05570642188587, 97.70017025829678, Japanese, undefined, 28, link 
1, 9, 119.41004491747161, 114.92233144845471, Japanese, undefined, 28, link 
1, 10, 101.89422012969821, 133.2923997934833, Japanese, undefined, 28, link 
1, 11, 85.578762102885, 152.73640551175794, Japanese, undefined, 28, link 
1, 12, 70.5293674280667, 173.1760544548919, Japanese, undefined, 28, link 
1, 13, 56.80663470600919, 194.5290433706375, Japanese, undefined, 28, link 
1, 14, 44.46582053803072, 216.7093913090357, Japanese, undefined, 28, link 
1, 15, 33.55661702717205, 239.62778583735474, Japanese, undefined, 28, link 
1, 16, 24.122951685636668, 263.1919426697325, Japanese, undefined, 28, link 
1, 17, 16.202810554201022, 287.3069772634281, Japanese, undefined, 28, link 
1, 18, 9.828085245837208, 311.8757868853837, Japanese, undefined, 28, link 
1, 19, 5.024444529442234, 336.79944161066, Japanese, undefined, 28, link 
1, 20, 1.8112309707661938, 361.9775826783269, Japanese, undefined, 28, link 
1, 21, 0.9671880213012161, 375.258748877094, Japanese, undefined, 28, link 
1, 22, 91.66145346193863, 460.5905976485251, Japanese, undefined, 28, link 
1, 23, 393.3561154890683, 356.5024463397129, Japanese, undefined, 28, link 
1, 24, 423.14521502875454, 290.1696717565449, Japanese, undefined, 28, link 
2, 0, 761.1706153146483, 571.9179648356692, Thai, undefined, 11, link 
2, 1, 771.3471732064289, 548.6649822641313, Thai, undefined, 11, link 
2, 2, 780.0284470963783, 524.8133782793943, Thai, undefined, 11, link 
2, 3, 787.1794805585427, 500.45919487243117, Thai, undefined, 11, link 
2, 4, 792.7714789050826, 475.7004977441641, Thai, undefined, 11, link 
2, 5, 796.7819251323181, 450.6369814294998, Thai, undefined, 11, link 
2, 6, 799.1946705887538, 425.3695678626253, Thai, undefined, 11, link 
2, 7, 800, 400.0000000000001, Thai, undefined, 11, link 
